token,status,current_definition,family,domain,primary_model,primary_cosine,primary_family_rank,secondary_model,secondary_cosine,secondary_family_rank,proposed_definition,reviewer_decision,reviewer_notes
compound,likely_wrong,"A term statistically associated with eyes, exercises, muscle, interest. Selected corpus use: research notes; alternative contexts: life science, network connection.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.5150338411331177,9,sentence-transformers/all-MiniLM-L6-v2,0.1198107898235321,10,"A combination of elements, parts, words, or enclosed buildings.",pending,
replacement,likely_wrong,"A term statistically associated with lasts, usage, retirement, waiting. Selected corpus use: workflow; alternative contexts: purchase decision, small project.",brainstorming_creativity,workflow,mixedbread-ai/mxbai-embed-large-v1,0.5162805914878845,11,sentence-transformers/all-MiniLM-L6-v2,0.13853663206100464,11,A person or thing that takes the place of another.,pending,
ends,likely_wrong,"A term statistically associated with summer, starts, late, month. Selected corpus use: civics; alternative contexts: small project, purchase decision.",explanation_learning,civics,mixedbread-ai/mxbai-embed-large-v1,0.5167112946510315,8,sentence-transformers/all-MiniLM-L6-v2,0.07597540318965912,6,"Finishes, final parts, or outermost points.",pending,
stages,likely_wrong,"A term statistically associated with three, increases, initial, cycle. Selected corpus use: civics; alternative contexts: purchase decision, small project.",explanation_learning,civics,mixedbread-ai/mxbai-embed-large-v1,0.5168095827102661,6,sentence-transformers/all-MiniLM-L6-v2,0.2257760763168335,7,Distinct phases of a process or platforms used for performance.,pending,
recording,likely_wrong,"A term statistically associated with artist, music, awards, mixing. Selected corpus use: appointments; alternative contexts: network connection, web form.",practical_action,appointments,mixedbread-ai/mxbai-embed-large-v1,0.5175970792770386,8,sentence-transformers/all-MiniLM-L6-v2,0.29327723383903503,7,"Stored audio, video, data, or the act of capturing it.",pending,
onto,likely_wrong,"A term statistically associated with sheet, dough, stepped, foot. Selected corpus use: social mistake; alternative contexts: small project, learning plan.",conversation_empathy,social_mistake,mixedbread-ai/mxbai-embed-large-v1,0.5178252458572388,13,sentence-transformers/all-MiniLM-L6-v2,0.1247096061706543,13,Expressing movement toward a position on a surface.,pending,
marks,likely_wrong,"A term statistically associated with departure, dozen, paint, oriented. Selected corpus use: explanation; alternative contexts: peripheral, data pipeline.",critique_revision,explanation,mixedbread-ai/mxbai-embed-large-v1,0.5186229348182678,8,sentence-transformers/all-MiniLM-L6-v2,0.1843743771314621,7,"Visible signs, recorded scores, or indications left by something.",pending,
standards,likely_wrong,"A term statistically associated with implementing, management, adopted, industry. Selected corpus use: feature ideas; alternative contexts: privacy security, financial decision.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,0.5186727046966553,10,sentence-transformers/all-MiniLM-L6-v2,0.24392569065093994,12,Accepted rules or levels used to judge quality and consistency.,pending,
sides,likely_wrong,"A term statistically associated with triangle, equal, angles, square. Selected corpus use: format preference; alternative contexts: support reply, email.",context_clarification,format_preference,mixedbread-ai/mxbai-embed-large-v1,0.5191512107849121,11,sentence-transformers/all-MiniLM-L6-v2,0.2677319049835205,6,"Surfaces, positions, or groups opposed within a situation.",pending,
ranges,likely_wrong,"A term statistically associated with mountain, peaks, mountains, temperature. Selected corpus use: policy memo; alternative contexts: article excerpt, learning plan.",summarization_synthesis,policy_memo,mixedbread-ai/mxbai-embed-large-v1,0.5212709903717041,7,sentence-transformers/all-MiniLM-L6-v2,0.18247383832931519,8,Spans between limits or groups of possible values.,pending,
branch,likely_wrong,"A term statistically associated with executive, laws, branches, mathematics. Selected corpus use: feature ideas; alternative contexts: purchase decision, network connection.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,0.5215717554092407,10,sentence-transformers/all-MiniLM-L6-v2,0.30219247937202454,6,"A division extending from a larger organization, structure, or tree.",pending,
prime,likely_wrong,"A term statistically associated with minister, numbers, number, serving. Selected corpus use: purchase decision; alternative contexts: network connection, sequence pattern.",planning_comparison,purchase_decision,mixedbread-ai/mxbai-embed-large-v1,0.5231425762176514,6,sentence-transformers/all-MiniLM-L6-v2,0.15133994817733765,9,Of greatest importance or quality; also divisible only by one and itself.,pending,
lyrics,likely_wrong,"A term statistically associated with song, melody, tune, performances. Selected corpus use: subscriptions; alternative contexts: email, technical explanation.",practical_action,subscriptions,mixedbread-ai/mxbai-embed-large-v1,0.5236501693725586,8,sentence-transformers/all-MiniLM-L6-v2,0.29268985986709595,10,The words written or sung in a song.,pending,
altitude,likely_wrong,"A term statistically associated with cloud, sea, plane, clouds. Selected corpus use: table comparison; alternative contexts: travel plan, learning plan.",reasoning_verification,table_comparison,mixedbread-ai/mxbai-embed-large-v1,0.5240641832351685,6,sentence-transformers/all-MiniLM-L6-v2,0.2595362663269043,6,Height above sea level or another reference surface.,pending,
stuck,likely_wrong,"A term statistically associated with traffic, get, broken, jar. Selected corpus use: instructions; alternative contexts: file sync, network connection.",critique_revision,instructions,mixedbread-ai/mxbai-embed-large-v1,0.5241978168487549,8,sentence-transformers/all-MiniLM-L6-v2,0.19369308650493622,10,"Unable to move, progress, or escape a position.",pending,
mon,likely_wrong,"A term statistically associated with type, fire, ice, water. Selected corpus use: claim evidence; alternative contexts: interface copy, argument.",critique_revision,claim_evidence,mixedbread-ai/mxbai-embed-large-v1,0.525553822517395,6,sentence-transformers/all-MiniLM-L6-v2,0.045140914618968964,6,A colloquial form of man used in some dialects and accents.,pending,
implementing,likely_wrong,"A term statistically associated with standards, strategies, ensuring, website. Selected corpus use: event registration; alternative contexts: life science, media literacy.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,0.5262700319290161,8,sentence-transformers/all-MiniLM-L6-v2,0.1241602748632431,10,"Putting a plan, decision, or system into effect.",pending,
ruler,likely_wrong,"A term statistically associated with measure, god, century, paper. Selected corpus use: project update; alternative contexts: home repair, data pipeline.",writing_transformation,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5266104936599731,8,sentence-transformers/all-MiniLM-L6-v2,0.24380454421043396,7,A measuring instrument or a person who governs.,pending,
controlled,likely_wrong,"A term statistically associated with humidity, zones, weapon, assigned. Selected corpus use: support reply; alternative contexts: purchase decision, learning plan.",writing_transformation,support_reply,mixedbread-ai/mxbai-embed-large-v1,0.5267832279205322,11,sentence-transformers/all-MiniLM-L6-v2,0.1308259665966034,11,"Regulated, directed, or kept within specified limits.",pending,
strike,likely_wrong,"A term statistically associated with writers, lightning, strikes, ball. Selected corpus use: web form; alternative contexts: learning plan, peripheral.",troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,0.5275673866271973,6,sentence-transformers/all-MiniLM-L6-v2,0.37786877155303955,9,"To hit, to stop work collectively, or to occur suddenly.",pending,
discovery,likely_wrong,"A term statistically associated with physics, led, theory, cell. Selected corpus use: project update; alternative contexts: learning notes, event plan.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5283243060112,6,sentence-transformers/all-MiniLM-L6-v2,0.3380643129348755,9,The act or result of finding something previously unknown.,pending,
martial,likely_wrong,"A term statistically associated with arts, art, boxing, artist. Selected corpus use: web form; alternative contexts: survey response, data pipeline.",troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,0.5285788774490356,8,sentence-transformers/all-MiniLM-L6-v2,0.24812957644462585,10,"Relating to war, armed forces, or combat.",pending,
civilization,likely_wrong,"A term statistically associated with ancient, oldest, scholars, earliest. Selected corpus use: event registration; alternative contexts: life science, learning plan.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,0.528754472732544,10,sentence-transformers/all-MiniLM-L6-v2,0.3543449640274048,12,An organized human society with developed institutions and culture.,pending,
spots,likely_wrong,"A term statistically associated with tourist, evenly, parking, vacation. Selected corpus use: personal finance; alternative contexts: learning plan, small project.",explanation_learning,personal_finance,mixedbread-ai/mxbai-embed-large-v1,0.5299681425094604,6,sentence-transformers/all-MiniLM-L6-v2,0.10910141468048096,10,"Small marks, particular places, or brief areas of attention.",pending,
maximum,likely_wrong,"A term statistically associated with speed, minimum, efficiency, mph. Selected corpus use: project update; alternative contexts: learning plan, purchase decision.",writing_transformation,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5307085514068604,6,sentence-transformers/all-MiniLM-L6-v2,0.18482372164726257,9,"The greatest amount, value, or degree permitted or possible.",pending,
locations,likely_wrong,"A term statistically associated with parks, occurs, stores, visits. Selected corpus use: research notes; alternative contexts: purchase decision, learning plan.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.5335043668746948,8,sentence-transformers/all-MiniLM-L6-v2,0.2904404401779175,8,Particular places or positions.,pending,
accordingly,likely_wrong,"A term statistically associated with adjust, dress, previous, ahead. Selected corpus use: research notes; alternative contexts: travel plan, small project.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.5344691872596741,9,sentence-transformers/all-MiniLM-L6-v2,0.2881681025028229,10,In a way that follows from the stated facts; therefore.,pending,
lucky,likely_wrong,"A term statistically associated with girl, you're, realize, tooth. Selected corpus use: schedule entry; alternative contexts: small project, learning plan.",extraction_classification,schedule_entry,mixedbread-ai/mxbai-embed-large-v1,0.5353446006774902,6,sentence-transformers/all-MiniLM-L6-v2,0.05213390290737152,6,Having or bringing favorable outcomes by chance.,pending,
tactics,likely_wrong,"A term statistically associated with strategies, legends, marketing, awareness. Selected corpus use: course enrolment; alternative contexts: home repair, small project.",practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,0.5368692874908447,8,sentence-transformers/all-MiniLM-L6-v2,0.2705802917480469,13,Specific methods used to achieve a short-term objective.,pending,
chat,likely_wrong,"A term statistically associated with platform, phone, grab, video. Selected corpus use: account access; alternative contexts: meeting notes, learning plan.",practical_action,account_access,mixedbread-ai/mxbai-embed-large-v1,0.5370609164237976,6,sentence-transformers/all-MiniLM-L6-v2,0.29212287068367004,9,An informal spoken or written conversation.,pending,
functional,likely_wrong,"A term statistically associated with brain, imaging, patients, activities. Selected corpus use: feature ideas; alternative contexts: privacy security, purchase decision.",brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,0.5387558937072754,9,sentence-transformers/all-MiniLM-L6-v2,0.16594651341438293,11,Working as intended or designed for a practical purpose.,pending,
bulk,likely_wrong,"A term statistically associated with buy, disease, single, goods. Selected corpus use: low cost activity; alternative contexts: privacy security, physical safety.",brainstorming_creativity,low_cost_activity,mixedbread-ai/mxbai-embed-large-v1,0.5401462912559509,6,sentence-transformers/all-MiniLM-L6-v2,0.18560537695884705,6,"A large mass, volume, or main part of something.",pending,
announcement,likely_wrong,"A term statistically associated with marketing, announced, reasons, nothing. Selected corpus use: web form; alternative contexts: subscriptions, learning plan.",troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,0.5403380393981934,7,sentence-transformers/all-MiniLM-L6-v2,0.26506713032722473,7,A public or formal statement that communicates news.,pending,
died,likely_wrong,"A term statistically associated with age, buried, illness, shortly. Selected corpus use: event registration; alternative contexts: peripheral, network connection.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,0.5407322645187378,10,sentence-transformers/all-MiniLM-L6-v2,0.25307339429855347,10,"Stopped living, existing, operating, or producing activity.",pending,
territory,likely_wrong,"A term statistically associated with islands, square, island, east. Selected corpus use: project update; alternative contexts: network connection, file sync.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5407812595367432,6,sentence-transformers/all-MiniLM-L6-v2,0.3721810579299927,12,An area of land or a defined field of activity or control.,pending,
province,likely_wrong,"A term statistically associated with population, district, capital, city. Selected corpus use: support thread; alternative contexts: purchase decision, small project.",summarization_synthesis,support_thread,mixedbread-ai/mxbai-embed-large-v1,0.543380856513977,11,sentence-transformers/all-MiniLM-L6-v2,0.26627638936042786,12,A principal administrative region within a country.,pending,
cons,likely_wrong,"A term statistically associated with pros, versus, owning, bigger. Selected corpus use: project update; alternative contexts: home repair, purchase decision.",writing_transformation,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5444885492324829,11,sentence-transformers/all-MiniLM-L6-v2,0.15114781260490417,13,Disadvantages; also people who deceive or have been convicted.,pending,
adjacent,likely_wrong,"A term statistically associated with squares, canal, lake, located. Selected corpus use: research notes; alternative contexts: civics, media literacy.",summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,0.5447493195533752,6,sentence-transformers/all-MiniLM-L6-v2,0.23727856576442719,9,Next to or very near something else.,pending,
qualities,likely_wrong,"A term statistically associated with distinctive, vegetable, soil, varying. Selected corpus use: table comparison; alternative contexts: peripheral, learning plan.",reasoning_verification,table_comparison,mixedbread-ai/mxbai-embed-large-v1,0.5460855960845947,7,sentence-transformers/all-MiniLM-L6-v2,0.12518468499183655,9,Distinctive attributes or degrees of excellence.,pending,
purposes,likely_wrong,"A term statistically associated with used, serve, rank, religion. Selected corpus use: course enrolment; alternative contexts: learning plan, small project.",practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,0.5469176769256592,10,sentence-transformers/all-MiniLM-L6-v2,0.22460392117500305,12,"Intended goals, uses, or reasons for doing something.",pending,
facilities,likely_wrong,"A term statistically associated with accommodate, buildings, production, industrial. Selected corpus use: shopping arithmetic; alternative contexts: physical safety, privacy security.",reasoning_verification,shopping_arithmetic,mixedbread-ai/mxbai-embed-large-v1,0.5482953190803528,8,sentence-transformers/all-MiniLM-L6-v2,0.2997954487800598,6,"Buildings, equipment, or services provided for a particular activity.",pending,
threw,likely_wrong,"A term statistically associated with yards, cow, game, ball. Selected corpus use: claim evidence; alternative contexts: peripheral, data pipeline.",critique_revision,claim_evidence,mixedbread-ai/mxbai-embed-large-v1,0.5486936569213867,9,sentence-transformers/all-MiniLM-L6-v2,0.1515694260597229,6,"Past tense of throw: propelled, discarded, caused, or organized.",pending,
steady,likely_wrong,"A term statistically associated with slow, tortoise, pace, swim. Selected corpus use: course enrolment; alternative contexts: learning plan, small project.",practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,0.5500165820121765,13,sentence-transformers/all-MiniLM-L6-v2,0.2027687281370163,13,"Stable, regular, and not changing suddenly.",pending,
expectations,likely_wrong,"A term statistically associated with realistic, inflation, meet, strategy. Selected corpus use: course enrolment; alternative contexts: learning plan, small project.",practical_action,course_enrolment,mixedbread-ai/mxbai-embed-large-v1,0.552505373954773,10,sentence-transformers/all-MiniLM-L6-v2,0.2764710783958435,11,Beliefs or standards concerning what is likely or required.,pending,
encounters,likely_wrong,"A term statistically associated with alien, travels, magical, returns. Selected corpus use: data pipeline; alternative contexts: purchase decision, learning plan.",troubleshooting,data_pipeline,mixedbread-ai/mxbai-embed-large-v1,0.5529412627220154,9,sentence-transformers/all-MiniLM-L6-v2,0.2899424135684967,7,Unexpected meetings or direct experiences with something.,pending,
year's,likely_wrong,"A term statistically associated with holiday, album, cheer, albums. Selected corpus use: project update; alternative contexts: small project, travel plan.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,0.5529459714889526,8,sentence-transformers/all-MiniLM-L6-v2,0.27696657180786133,10,Possessive form indicating that something belongs or relates to a year.,pending,
positive,likely_wrong,"A term statistically associated with negative, sentiment, charge, charges. Selected corpus use: survey response; alternative contexts: small project, learning plan.",extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,0.5553677082061768,6,sentence-transformers/all-MiniLM-L6-v2,0.33089739084243774,7,"Favorable, present rather than absent, or greater than zero.",pending,
firm,likely_wrong,"A term statistically associated with investment, dough, assets, report. Selected corpus use: support reply; alternative contexts: small project, learning plan.",writing_transformation,support_reply,mixedbread-ai/mxbai-embed-large-v1,0.5560253262519836,6,sentence-transformers/all-MiniLM-L6-v2,0.2805933356285095,6,Solid or stable; also a business organization.,pending,
ease,likely_wrong,"A term statistically associated with comfort, abundant, crisis, greater. Selected corpus use: workflow; alternative contexts: small project, financial decision.",brainstorming_creativity,workflow,mixedbread-ai/mxbai-embed-large-v1,0.5605500936508179,8,sentence-transformers/all-MiniLM-L6-v2,0.17965267598628998,7,"Freedom from difficulty, or the act of making something less difficult.",pending,
eat,likely_wrong,"A term statistically associated with foods, food, vegetables, peas. Selected corpus use: achievement; alternative contexts: small project, purchase decision.",conversation_empathy,achievement,mixedbread-ai/mxbai-embed-large-v1,0.5612147450447083,10,sentence-transformers/all-MiniLM-L6-v2,0.28709664940834045,14,To take food into the body by chewing and swallowing it.,pending,
picnic,likely_wrong,"A term statistically associated with lunch, sandwiches, beach, hike. Selected corpus use: physical safety; alternative contexts: low cost activity, home repair.",safety_uncertainty,physical_safety,mixedbread-ai/mxbai-embed-large-v1,0.5629574656486511,7,sentence-transformers/all-MiniLM-L6-v2,0.24017378687858582,14,"A meal eaten outdoors, often during a leisure outing.",pending,
issued,likely_wrong,"A term statistically associated with bonds, governments, bond, government. Selected corpus use: outreach; alternative contexts: privacy security, financial decision.",brainstorming_creativity,outreach,mixedbread-ai/mxbai-embed-large-v1,0.5650261044502258,9,sentence-transformers/all-MiniLM-L6-v2,0.23204845190048218,9,"Officially supplied, published, or sent out.",pending,
documents,likely_wrong,"A term statistically associated with agents, classified, pages, denied. Selected corpus use: writing prompts; alternative contexts: financial decision, privacy security.",brainstorming_creativity,writing_prompts,mixedbread-ai/mxbai-embed-large-v1,0.565777063369751,7,sentence-transformers/all-MiniLM-L6-v2,0.3574610948562622,7,Written or digital records that preserve information or evidence.,pending,
