token,short_definition,classification_status,selected_rank,statistical_usages_json,family,domain,assignment_method,contextual_sources,context_score,role_prior_score,source_count,total_occurrences,surface_policy,statistical_gloss,definition_kind,definition_review_decision,definition_embedding_consensus
aspect,"A term statistically associated with dance, political, exhibit, relativity. Selected corpus use: event plan; alternative contexts: writing prompts, low cost activity.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.55451038,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":7,""domain"":""writing_prompts"",""family"":""brainstorming_creativity"",""rank"":2,""score"":14.44479129,""usage_gloss"":""The alternative statistical use places this term in writing prompts contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":3,""domain"":""low_cost_activity"",""family"":""brainstorming_creativity"",""rank"":3,""score"":14.43293884,""usage_gloss"":""The alternative statistical use places this term in low cost activity contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":2,""domain"":""lesson_activity"",""family"":""brainstorming_creativity"",""rank"":4,""score"":14.40622924,""usage_gloss"":""The alternative statistical use places this term in lesson activity contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":1,""domain"":""feature_ideas"",""family"":""brainstorming_creativity"",""rank"":5,""score"":14.39390792,""usage_gloss"":""The alternative statistical use places this term in feature ideas contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.55451038,0.0,2,103,grounded_quoted_term,,,,
astronaut,"A term statistically associated with mission, station, experiments, pilot. Selected corpus use: event plan; alternative contexts: loss disappointment, simple probability.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":15.30250004,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":17,""domain"":""loss_disappointment"",""family"":""conversation_empathy"",""rank"":2,""score"":15.11329797,""usage_gloss"":""The alternative statistical use places this term in loss disappointment contexts for conversation empathy."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":75,""domain"":""simple_probability"",""family"":""reasoning_verification"",""rank"":3,""score"":14.99352095,""usage_gloss"":""The alternative statistical use places this term in simple probability contexts for reasoning verification."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":2,""domain"":""lesson_activity"",""family"":""brainstorming_creativity"",""rank"":4,""score"":14.41658904,""usage_gloss"":""The alternative statistical use places this term in lesson activity contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":7,""domain"":""writing_prompts"",""family"":""brainstorming_creativity"",""rank"":5,""score"":14.41658904,""usage_gloss"":""The alternative statistical use places this term in writing prompts contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,15.30250004,0.0,2,69,grounded_quoted_term,,,,
audiences,"A term statistically associated with film, critics, fiction, earning. Selected corpus use: event plan; alternative contexts: learning plan, small project.",statistically_supported,2,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":2,""score"":14.52520919,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":1,""score"":14.63824719,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":3,""score"":14.49354799,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":96,""domain"":""email"",""family"":""writing_transformation"",""rank"":4,""score"":14.49354799,""usage_gloss"":""The alternative statistical use places this term in email contexts for writing transformation."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":5,""score"":14.46218008,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.52520919,0.0,2,73,grounded_quoted_term,,,,
awards,"A term statistically associated with award, globe, won, nominated. Selected corpus use: event plan; alternative contexts: purchase decision, learning plan.",statistically_plausible,5,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":5,""score"":14.08985029,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":1,""score"":14.48550284,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":2,""score"":14.39749633,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":3,""score"":14.39325965,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":57,""domain"":""travel_plan"",""family"":""planning_comparison"",""rank"":4,""score"":14.39325965,""usage_gloss"":""The alternative statistical use places this term in travel plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.08985029,0.0,2,494,grounded_quoted_term,,,,
bed,"A term statistically associated with sleep, sheet, bedroom, asleep. Selected corpus use: event plan; alternative contexts: small project, learning plan.",statistically_supported,3,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":3,""score"":14.19670798,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":1,""score"":14.31060889,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":2,""score"":14.2091417,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":4,""score"":14.18698009,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":57,""domain"":""travel_plan"",""family"":""planning_comparison"",""rank"":5,""score"":14.18279825,""usage_gloss"":""The alternative statistical use places this term in travel plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.19670798,0.0,2,465,grounded_quoted_term,,,,
beings,"A term statistically associated with human, living, supernatural, animals. Selected corpus use: event plan; alternative contexts: learning plan, purchase decision.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.50502712,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":54,""domain"":""learning_plan"",""family"":""planning_comparison"",""rank"":2,""score"":14.31105907,""usage_gloss"":""The alternative statistical use places this term in learning plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":55,""domain"":""purchase_decision"",""family"":""planning_comparison"",""rank"":3,""score"":14.25068875,""usage_gloss"":""The alternative statistical use places this term in purchase decision contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":4,""score"":14.25068875,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":57,""domain"":""travel_plan"",""family"":""planning_comparison"",""rank"":5,""score"":14.18643836,""usage_gloss"":""The alternative statistical use places this term in travel plan contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.50502712,0.0,2,88,grounded_quoted_term,,,,
blank,"A term statistically associated with shake, page, mind, bad. Selected corpus use: event plan; alternative contexts: loss disappointment, data literacy.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":15.05206105,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":17,""domain"":""loss_disappointment"",""family"":""conversation_empathy"",""rank"":2,""score"":14.74939519,""usage_gloss"":""The alternative statistical use places this term in loss disappointment contexts for conversation empathy."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":32,""domain"":""data_literacy"",""family"":""explanation_learning"",""rank"":3,""score"":14.71093591,""usage_gloss"":""The alternative statistical use places this term in data literacy contexts for explanation learning."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":35,""domain"":""media_literacy"",""family"":""explanation_learning"",""rank"":4,""score"":14.691137,""usage_gloss"":""The alternative statistical use places this term in media literacy contexts for explanation learning."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":75,""domain"":""simple_probability"",""family"":""reasoning_verification"",""rank"":5,""score"":14.58110918,""usage_gloss"":""The alternative statistical use places this term in simple probability contexts for reasoning verification."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,15.05206105,0.0,2,79,grounded_quoted_term,,,,
board,"A term statistically associated with games, chess, game, member. Selected corpus use: event plan; alternative contexts: incident log, small project.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.10100975,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":83,""domain"":""incident_log"",""family"":""summarization_synthesis"",""rank"":2,""score"":13.98855995,""usage_gloss"":""The alternative statistical use places this term in incident log contexts for summarization synthesis."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":56,""domain"":""small_project"",""family"":""planning_comparison"",""rank"":3,""score"":13.94789991,""usage_gloss"":""The alternative statistical use places this term in small project contexts for planning comparison."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":80,""domain"":""physical_safety"",""family"":""safety_uncertainty"",""rank"":4,""score"":13.89931214,""usage_gloss"":""The alternative statistical use places this term in physical safety contexts for safety uncertainty."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":86,""domain"":""policy_memo"",""family"":""summarization_synthesis"",""rank"":5,""score"":13.88583187,""usage_gloss"":""The alternative statistical use places this term in policy memo contexts for summarization synthesis."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.10100975,0.0,2,500,grounded_quoted_term,,,,
bowl,"A term statistically associated with powder, mixing, flour, mix. Selected corpus use: event plan; alternative contexts: incident log, workflow.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.20945877,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":83,""domain"":""incident_log"",""family"":""summarization_synthesis"",""rank"":2,""score"":14.11654622,""usage_gloss"":""The alternative statistical use places this term in incident log contexts for summarization synthesis."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":6,""domain"":""workflow"",""family"":""brainstorming_creativity"",""rank"":3,""score"":14.03884518,""usage_gloss"":""The alternative statistical use places this term in workflow contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":1,""domain"":""feature_ideas"",""family"":""brainstorming_creativity"",""rank"":4,""score"":14.01798574,""usage_gloss"":""The alternative statistical use places this term in feature ideas contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":4,""domain"":""names"",""family"":""brainstorming_creativity"",""rank"":5,""score"":13.99773274,""usage_gloss"":""The alternative statistical use places this term in names contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.20945877,0.0,2,487,grounded_quoted_term,,,,
cabinet,"A term statistically associated with constitution, kitchen, government, headed. Selected corpus use: event plan; alternative contexts: low cost activity, outreach.",statistically_supported,1,"[{""cell_index"":0,""domain"":""event_plan"",""family"":""brainstorming_creativity"",""rank"":1,""score"":14.55589864,""usage_gloss"":""The selected generation use places this term in event plan contexts for brainstorming creativity."",""usage_kind"":""selected_generation""},{""cell_index"":3,""domain"":""low_cost_activity"",""family"":""brainstorming_creativity"",""rank"":2,""score"":14.43617581,""usage_gloss"":""The alternative statistical use places this term in low cost activity contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":5,""domain"":""outreach"",""family"":""brainstorming_creativity"",""rank"":3,""score"":14.40386323,""usage_gloss"":""The alternative statistical use places this term in outreach contexts for brainstorming creativity."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":74,""domain"":""shopping_arithmetic"",""family"":""reasoning_verification"",""rank"":4,""score"":14.321767,""usage_gloss"":""The alternative statistical use places this term in shopping arithmetic contexts for reasoning verification."",""usage_kind"":""alternative_statistical_context""},{""cell_index"":73,""domain"":""sequence_pattern"",""family"":""reasoning_verification"",""rank"":5,""score"":14.23232327,""usage_gloss"":""The alternative statistical use places this term in sequence pattern contexts for reasoning verification."",""usage_kind"":""alternative_statistical_context""}]",brainstorming_creativity,event_plan,cross_source_context,2,14.55589864,0.0,2,64,grounded_quoted_term,,,,
