token,consensus,current_definition,proposed_definition,family,domain,primary_model,primary_signal,primary_token_delta,primary_bare_token_delta,primary_lexical_query_delta,primary_family_delta,primary_current_family_rank,primary_proposed_family_rank,secondary_model,secondary_signal,secondary_token_delta,secondary_bare_token_delta,secondary_lexical_query_delta,secondary_family_delta,secondary_current_family_rank,secondary_proposed_family_rank,reviewer_decision,reviewer_notes
broccoli,mixed,"A term statistically associated with cabbage, vegetables, spinach, carrots. Selected corpus use: survey response; alternative contexts: financial decision, media literacy.",A green vegetable with a thick stalk and clustered flower buds.,extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.03193044662475586,0.012022316455841064,-0.07588320970535278,-0.3110058307647705,6,6,sentence-transformers/all-MiniLM-L6-v2,improved,0.029315531253814697,0.03987312316894531,0.018757939338684082,-0.357757568359375,7,9,accepted,Accepted by operator.
butterflies,mixed,"A term statistically associated with bees, adult, butterfly, insects. Selected corpus use: uncertain change; alternative contexts: file sync, network connection.","Insects with broad, often colorful wings and a complete metamorphic life cycle.",conversation_empathy,uncertain_change,mixedbread-ai/mxbai-embed-large-v1,mixed,0.01600879430770874,0.10026103258132935,-0.06824344396591187,-0.3574140667915344,2,13,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.038179680705070496,0.021104663610458374,-0.09746402502059937,-0.5359736867249012,6,13,accepted,Accepted by operator.
credit,mixed,"A term statistically associated with card, cards, loans, payment. Selected corpus use: interface copy; alternative contexts: privacy security, financial decision.","Recognition, borrowed funds, or an accounting entry of value.",critique_revision,interface_copy,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.05308932065963745,-0.019107520580291748,-0.08707112073898315,-0.25193774700164795,10,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.04713864624500275,0.03210359811782837,0.062173694372177124,-0.34884363412857056,7,8,accepted,Accepted by operator.
died,mixed,"A term statistically associated with age, buried, illness, shortly. Selected corpus use: event registration; alternative contexts: peripheral, network connection.","Stopped living, existing, operating, or producing activity.",practical_action,event_registration,mixedbread-ai/mxbai-embed-large-v1,mixed,0.04205384850502014,0.10854321718215942,-0.02443552017211914,-0.31170159578323364,8,3,sentence-transformers/all-MiniLM-L6-v2,mixed,0.022645294666290283,0.11767444014549255,-0.07238385081291199,-0.36402177810668945,8,2,accepted,Accepted by operator.
era,mixed,"A term statistically associated with medieval, modern, classical, age. Selected corpus use: article excerpt; alternative contexts: purchase decision, learning plan.",A distinct and extended period of history.,summarization_synthesis,article_excerpt,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.03369855880737305,0.0006028413772583008,-0.0679999589920044,-0.27253901958465576,12,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.2617602050304413,0.26968878507614136,0.2538316249847412,-0.2654726505279541,11,5,accepted,Accepted by operator.
fries,mixed,"A term statistically associated with potatoes, chips, potato, steak. Selected corpus use: receipt; alternative contexts: case note, media literacy.",Thin pieces of potato or other food cooked in hot oil.,extraction_classification,receipt,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.009898960590362549,0.0634806752204895,-0.0832785964012146,-0.3842587471008301,3,11,sentence-transformers/all-MiniLM-L6-v2,mixed,0.027665570378303528,0.091881662607193,-0.03655052185058594,-0.6003265008330345,2,5,accepted,Accepted by operator.
inflammation,mixed,"A term statistically associated with fatty, acute, immune, chronic. Selected corpus use: workflow; alternative contexts: physical safety, web form.","A bodily response marked by swelling, heat, pain, or redness.",brainstorming_creativity,workflow,mixedbread-ai/mxbai-embed-large-v1,improved,0.05573737621307373,0.10238134860992432,0.009093403816223145,-0.2709423303604126,11,10,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.027567431330680847,-0.03579548001289368,-0.019339382648468018,-0.192603200674057,10,7,accepted,Accepted by operator.
layers,mixed,"A term statistically associated with layer, neural, rocks, scientists. Selected corpus use: survey response; alternative contexts: travel plan, learning plan.","Sheets, levels, or structures arranged one over another.",extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,improved,0.0740625262260437,0.13636600971221924,0.011759042739868164,-0.2588750720024109,8,4,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.04939863085746765,-0.02219909429550171,-0.0765981674194336,-0.34251952171325684,7,2,accepted,Accepted by operator.
lens,mixed,"A term statistically associated with camera, photo, cameras, eye. Selected corpus use: contact record; alternative contexts: learning plan, peripheral.","A curved transparent element that focuses light, or a viewpoint for interpretation.",extraction_classification,contact_record,mixedbread-ai/mxbai-embed-large-v1,improved,0.03108924627304077,0.05903160572052002,0.0031468868255615234,-0.35711267590522766,3,11,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.025117263197898865,-0.026014328002929688,-0.024220198392868042,-0.4372923821210861,3,7,accepted,Accepted by operator.
particle,mixed,"A term statistically associated with particles, physics, quantum, speed. Selected corpus use: relationship tension; alternative contexts: uncertain change, media literacy.",A very small piece of matter or a discrete physical entity.,conversation_empathy,relationship_tension,mixedbread-ai/mxbai-embed-large-v1,regressed,-0.02718961238861084,0.017858028411865234,-0.07223725318908691,-0.24606049060821533,2,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.07387667894363403,0.08872196078300476,0.059031397104263306,-0.4566822350025177,2,14,accepted,Accepted by operator.
particles,mixed,"A term statistically associated with particle, charged, quantum, physics. Selected corpus use: technical explanation; alternative contexts: travel plan, purchase decision.",Very small pieces of matter or discrete physical entities.,writing_transformation,technical_explanation,mixedbread-ai/mxbai-embed-large-v1,mixed,0.00915437936782837,0.08811318874359131,-0.06980443000793457,-0.20369935035705566,8,11,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.018421411514282227,0.05203664302825928,-0.08887946605682373,-0.448761448264122,7,10,accepted,Accepted by operator.
phrases,mixed,"A term statistically associated with changed, speaking, sentences, dialogue. Selected corpus use: computing; alternative contexts: life science, personal finance.",Groups of words that function together as meaningful units.,explanation_learning,computing,mixedbread-ai/mxbai-embed-large-v1,improved,0.10481569170951843,0.11436313390731812,0.09526824951171875,-0.0960303544998169,3,8,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.09628474712371826,-0.12104848027229309,-0.07152101397514343,-0.3473842144012451,1,8,accepted,Accepted by operator.
proteins,mixed,"A term statistically associated with protein, molecules, cell, structures. Selected corpus use: policy memo; alternative contexts: purchase decision, support thread.",Large biological molecules made of amino-acid chains.,summarization_synthesis,policy_memo,mixedbread-ai/mxbai-embed-large-v1,mixed,0.040500640869140625,0.11406326293945312,-0.033061981201171875,-0.31390875577926636,5,12,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.03096655011177063,0.05458420515060425,-0.11651730537414551,-0.6668786853551865,8,10,accepted,Accepted by operator.
rainforest,mixed,"A term statistically associated with tropical, jungle, indigenous, half. Selected corpus use: achievement; alternative contexts: event plan, feature ideas.",A dense forest in a region with high annual rainfall.,conversation_empathy,achievement,mixedbread-ai/mxbai-embed-large-v1,improved,0.07363802194595337,0.1643458604812622,-0.01706981658935547,-0.3674463927745819,9,12,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.11833608150482178,-0.050705790519714355,-0.1859663724899292,-0.43538438994437456,13,14,accepted,Accepted by operator.
school,mixed,"A term statistically associated with elementary, attended, middle, schools. Selected corpus use: financial decision; alternative contexts: learning plan, small project.",An institution for education or a group sharing a field or style.,safety_uncertainty,financial_decision,mixedbread-ai/mxbai-embed-large-v1,improved,0.013194739818572998,0.031167805194854736,-0.00477832555770874,-0.23945766687393188,9,14,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.03303873538970947,-0.018573343753814697,-0.04750412702560425,-0.38888826966285706,8,12,accepted,Accepted by operator.
speeds,mixed,"A term statistically associated with mph, fastest, hour, animal. Selected corpus use: financial decision; alternative contexts: learning plan, peripheral.","Rates at which movement, action, or change occurs.",safety_uncertainty,financial_decision,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.0004849731922149658,0.05592089891433716,-0.05689084529876709,-0.2215491533279419,5,11,sentence-transformers/all-MiniLM-L6-v2,mixed,0.009717270731925964,0.08133625984191895,-0.06190171837806702,-0.42328664660453796,2,13,accepted,Accepted by operator.
vacation,mixed,"A term statistically associated with destinations, beach, summer, relaxing. Selected corpus use: support reply; alternative contexts: travel plan, learning plan.",A period away from work or study used for rest or travel.,writing_transformation,support_reply,mixedbread-ai/mxbai-embed-large-v1,improved,0.035381466150283813,0.07670176029205322,-0.005938827991485596,-0.2055414319038391,6,13,sentence-transformers/all-MiniLM-L6-v2,regressed,-0.04929548501968384,-0.07640939950942993,-0.022181570529937744,-0.3011416792869568,6,11,accepted,Accepted by operator.
anger,partially_supported,"A term statistically associated with emotions, fear, pain, angry. Selected corpus use: case note; alternative contexts: work stress, uncertain change.",A strong feeling of displeasure or hostility.,extraction_classification,case_note,mixedbread-ai/mxbai-embed-large-v1,mixed,0.028712362051010132,0.08590853214263916,-0.028483808040618896,-0.2751641869544983,5,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.05581662058830261,0.07446038722991943,0.03717285394668579,-0.24476481974124908,10,8,accepted,Accepted by operator.
couch,partially_supported,"A term statistically associated with desk, bed, kitchen, dog. Selected corpus use: table comparison; alternative contexts: home repair, email.","A long upholstered seat, or the act of expressing something in particular terms.",reasoning_verification,table_comparison,mixedbread-ai/mxbai-embed-large-v1,inconclusive,-0.0010863542556762695,0.0024317502975463867,-0.004604458808898926,-0.17212486267089844,7,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.09074005484580994,0.0760655403137207,0.10541456937789917,-0.3032328486442566,8,5,accepted,Accepted by operator.
counter,partially_supported,"A term statistically associated with kitchen, arguments, strike, counting. Selected corpus use: names; alternative contexts: contact record, small project.","A work surface, counting device, or force that opposes an effect.",brainstorming_creativity,names,mixedbread-ai/mxbai-embed-large-v1,mixed,0.015476852655410767,0.06016272306442261,-0.029209017753601074,-0.2582707405090332,8,13,sentence-transformers/all-MiniLM-L6-v2,improved,0.037602201104164124,0.0181768536567688,0.05702754855155945,-0.38204658031463623,6,3,accepted,Accepted by operator.
dental,partially_supported,"A term statistically associated with tooth, teeth, oral, disease. Selected corpus use: feature ideas; alternative contexts: financial decision, medical information.",Relating to teeth or their care and treatment.,brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,mixed,0.013368606567382812,0.067649245262146,-0.04091203212738037,-0.24083209037780762,12,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.09298229217529297,0.10751163959503174,0.0784529447555542,-0.32076969742774963,8,9,accepted,Accepted by operator.
electronic,partially_supported,"A term statistically associated with devices, music, electronics, rock. Selected corpus use: case note; alternative contexts: learning plan, small project.",Relating to devices or systems that control electric signals.,extraction_classification,case_note,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.011627286672592163,0.026991605758666992,-0.05024617910385132,-0.3199694752693176,8,5,sentence-transformers/all-MiniLM-L6-v2,improved,0.18245556950569153,0.17016661167144775,0.1947445273399353,-0.44844260811805725,7,2,accepted,Accepted by operator.
far,partially_supported,"A term statistically associated with near, distance, apart, right. Selected corpus use: research notes; alternative contexts: small project, travel plan.",At or to a great distance or degree.,summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.04204005002975464,0.05540043115615845,0.02867966890335083,-0.2816998362541199,12,13,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.010417848825454712,0.0670711100101471,-0.08790680766105652,-0.4266786277294159,11,12,accepted,Accepted by operator.
frequency,partially_supported,"A term statistically associated with pitch, intensity, waves, audio. Selected corpus use: outreach; alternative contexts: peripheral, workflow.",How often something occurs within a given interval.,brainstorming_creativity,outreach,mixedbread-ai/mxbai-embed-large-v1,mixed,0.024386972188949585,0.08892613649368286,-0.04015219211578369,-0.16852277517318726,7,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.016328737139701843,0.05009514093399048,-0.017437666654586792,-0.41832588613033295,3,5,accepted,Accepted by operator.
games,partially_supported,"A term statistically associated with video, play, game, playing. Selected corpus use: learning notes; alternative contexts: learning plan, purchase decision.","Rule-based activities played for competition, skill, or amusement.",summarization_synthesis,learning_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.04582783579826355,0.08328390121459961,0.00837177038192749,-0.22346413135528564,8,6,sentence-transformers/all-MiniLM-L6-v2,mixed,-0.009030088782310486,0.029130756855010986,-0.04719093441963196,-0.34346896409988403,12,6,accepted,Accepted by operator.
goose,partially_supported,"A term statistically associated with duck, bird, birds, flying. Selected corpus use: meeting transcript; alternative contexts: media literacy, personal finance.",A large waterbird related to ducks and swans.,summarization_synthesis,meeting_transcript,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.009651750326156616,0.05802011489868164,-0.07732361555099487,-0.3685140013694763,8,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.052994877099990845,0.08499342203140259,0.0209963321685791,-0.5153347551822662,11,1,accepted,Accepted by operator.
gun,partially_supported,"A term statistically associated with weapon, guns, violence, laws. Selected corpus use: feature ideas; alternative contexts: privacy security, financial decision.",A weapon or device that fires a projectile or pressurized material.,brainstorming_creativity,feature_ideas,mixedbread-ai/mxbai-embed-large-v1,mixed,0.03984254598617554,0.1089019775390625,-0.029216885566711426,-0.28302592039108276,9,3,sentence-transformers/all-MiniLM-L6-v2,improved,0.1280672699213028,0.16393262147903442,0.09220191836357117,-0.4151395112276077,11,3,accepted,Accepted by operator.
habits,partially_supported,"A term statistically associated with habit, atomic, eating, healthy. Selected corpus use: peripheral; alternative contexts: web form, learning plan.",Regular behaviors or practices acquired through repetition.,troubleshooting,peripheral,mixedbread-ai/mxbai-embed-large-v1,mixed,0.015214920043945312,0.0742231011390686,-0.04379326105117798,-0.22420376539230347,6,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.005584895610809326,0.024396419525146484,-0.013226628303527832,-0.3103615343570709,3,13,accepted,Accepted by operator.
holidays,partially_supported,"A term statistically associated with holiday, school, day, weekend. Selected corpus use: project update; alternative contexts: travel plan, small project.","Days or periods set aside for celebration, rest, or travel.",summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,mixed,0.04844275116920471,0.1273391842842102,-0.03045368194580078,-0.30326008796691895,7,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.05094066262245178,0.03787726163864136,0.06400406360626221,-0.3959234654903412,11,7,accepted,Accepted by operator.
martial,partially_supported,"A term statistically associated with arts, art, boxing, artist. Selected corpus use: web form; alternative contexts: survey response, data pipeline.","Relating to war, armed forces, or combat.",troubleshooting,web_form,mixedbread-ai/mxbai-embed-large-v1,inconclusive,0.012465715408325195,0.009924590587615967,0.015006840229034424,-0.173395037651062,5,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.1946430429816246,0.1222488135099411,0.2670372724533081,-0.22395110130310059,5,9,accepted,Accepted by operator.
onto,partially_supported,"A term statistically associated with sheet, dough, stepped, foot. Selected corpus use: social mistake; alternative contexts: small project, learning plan.",Expressing movement toward a position on a surface.,conversation_empathy,social_mistake,mixedbread-ai/mxbai-embed-large-v1,mixed,0.007233470678329468,0.056317925453186035,-0.0418509840965271,-0.275330126285553,5,9,sentence-transformers/all-MiniLM-L6-v2,improved,0.08395403251051903,0.07317065447568893,0.09473741054534912,-0.5535327941179276,4,13,accepted,Accepted by operator.
paintings,partially_supported,"A term statistically associated with gallery, artwork, van, art. Selected corpus use: project update; alternative contexts: small project, learning plan.",Pictures created by applying paint to a surface.,summarization_synthesis,project_update,mixedbread-ai/mxbai-embed-large-v1,mixed,0.04006791114807129,0.12468647956848145,-0.04455065727233887,-0.36995992064476013,12,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.09544637799263,0.14378583431243896,0.047106921672821045,-0.5319221243262291,12,11,accepted,Accepted by operator.
summers,partially_supported,"A term statistically associated with hot, warm, winter, springs. Selected corpus use: achievement; alternative contexts: small project, learning plan.",Warm seasons between spring and autumn.,conversation_empathy,achievement,mixedbread-ai/mxbai-embed-large-v1,mixed,0.01883906126022339,0.08569914102554321,-0.048021018505096436,-0.3003515601158142,4,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.08950448036193848,0.16240334510803223,0.016605615615844727,-0.38630592823028564,12,13,accepted,Accepted by operator.
tourist,partially_supported,"A term statistically associated with attractions, destinations, million, international. Selected corpus use: data pipeline; alternative contexts: learning plan, travel plan.",A person travelling for leisure or to visit places.,troubleshooting,data_pipeline,mixedbread-ai/mxbai-embed-large-v1,mixed,0.05368492007255554,0.16861873865127563,-0.06124889850616455,-0.3049185872077942,7,5,sentence-transformers/all-MiniLM-L6-v2,improved,0.08027951419353485,0.1498393714427948,0.010719656944274902,-0.3770114779472351,8,9,accepted,Accepted by operator.
train,partially_supported,"A term statistically associated with passenger, station, transportation, training. Selected corpus use: data literacy; alternative contexts: network connection, travel plan.","A connected series of rail vehicles, or the act of teaching through practice.",explanation_learning,data_literacy,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.0011888444423675537,0.05700528621673584,-0.05938297510147095,-0.2785736918449402,8,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.13388468325138092,0.13720151782035828,0.13056784868240356,-0.4953785836696625,5,9,accepted,Accepted by operator.
trust,partially_supported,"A term statistically associated with doubt, mutual, vulnerable, patient. Selected corpus use: lesson activity; alternative contexts: small project, learning plan.","Confidence in reliability, honesty, or ability.",brainstorming_creativity,lesson_activity,mixedbread-ai/mxbai-embed-large-v1,mixed,0.0076236724853515625,0.07744759321212769,-0.06220024824142456,-0.29780590534210205,4,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.14782193303108215,0.18264895677566528,0.11299490928649902,-0.374228298664093,2,13,accepted,Accepted by operator.
yogurt,partially_supported,"A term statistically associated with milk, dairy, protein, tofu. Selected corpus use: survey response; alternative contexts: article excerpt, research notes.",A fermented milk food produced using bacterial cultures.,extraction_classification,survey_response,mixedbread-ai/mxbai-embed-large-v1,mixed,-0.0023041367530822754,0.044593632221221924,-0.049201905727386475,-0.33933091163635254,5,11,sentence-transformers/all-MiniLM-L6-v2,improved,0.044582217931747437,0.09722411632537842,-0.008059680461883545,-0.4497416913509369,6,2,accepted,Accepted by operator.
accordingly,supported_by_both,"A term statistically associated with adjust, dress, previous, ahead. Selected corpus use: research notes; alternative contexts: travel plan, small project.",In a way that follows from the stated facts; therefore.,summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.08431726694107056,0.17761534452438354,-0.008980810642242432,-0.2405659556388855,11,8,sentence-transformers/all-MiniLM-L6-v2,improved,0.09017559885978699,0.12507548928260803,0.05527570843696594,-0.530578538775444,11,10,accepted,Accepted by operator.
achieve,supported_by_both,"A term statistically associated with competitive, goal, performance, flow. Selected corpus use: personal finance; alternative contexts: learning plan, purchase decision.",To successfully reach a goal or desired result.,explanation_learning,personal_finance,mixedbread-ai/mxbai-embed-large-v1,improved,0.16127347946166992,0.1794704794883728,0.14307647943496704,-0.29577600955963135,5,10,sentence-transformers/all-MiniLM-L6-v2,improved,0.4044911041855812,0.4120263606309891,0.39695584774017334,-0.38271549344062805,5,4,accepted,Accepted by operator.
achieving,supported_by_both,"A term statistically associated with towards, consistently, women, happiness. Selected corpus use: project brief; alternative contexts: small project, learning plan.",Successfully reaching a desired result through effort.,grounded_qa,project_brief,mixedbread-ai/mxbai-embed-large-v1,improved,0.1385282278060913,0.19626516103744507,0.08079129457473755,-0.1963965892791748,7,12,sentence-transformers/all-MiniLM-L6-v2,improved,0.32964830100536346,0.3469002842903137,0.3123963177204132,-0.3629533648490906,6,9,accepted,Accepted by operator.
acute,supported_by_both,"A term statistically associated with syndrome, inflammation, respiratory, virus. Selected corpus use: computing; alternative contexts: web form, financial decision.","Severe and sudden, highly perceptive, or forming a sharp angle.",explanation_learning,computing,mixedbread-ai/mxbai-embed-large-v1,improved,0.07868349552154541,0.08313733339309692,0.0742296576499939,-0.29294949769973755,4,7,sentence-transformers/all-MiniLM-L6-v2,improved,0.10847073793411255,0.11313122510910034,0.10381025075912476,-0.4182785451412201,10,13,accepted,Accepted by operator.
adjacent,supported_by_both,"A term statistically associated with squares, canal, lake, located. Selected corpus use: research notes; alternative contexts: civics, media literacy.",Next to or very near something else.,summarization_synthesis,research_notes,mixedbread-ai/mxbai-embed-large-v1,improved,0.16820240020751953,0.22037863731384277,0.11602616310119629,-0.18343335390090942,10,14,sentence-transformers/all-MiniLM-L6-v2,improved,0.32091378420591354,0.33797019720077515,0.30385737121105194,-0.396884024143219,11,10,accepted,Accepted by operator.
aid,supported_by_both,"A term statistically associated with kit, lemon, clothing, coffee. Selected corpus use: peripheral; alternative contexts: physical safety, privacy security.","Help, support, or a resource that makes a task easier.",troubleshooting,peripheral,mixedbread-ai/mxbai-embed-large-v1,improved,0.1403372883796692,0.17441558837890625,0.10625898838043213,-0.1293168067932129,3,5,sentence-transformers/all-MiniLM-L6-v2,improved,0.14674438163638115,0.19639819115400314,0.09709057211875916,-0.2985048294067383,2,4,accepted,Accepted by operator.
alphabetical,supported_by_both,"A term statistically associated with list, sorted, below, television. Selected corpus use: instructions; alternative contexts: contact record, names.",Arranged according to the conventional order of letters.,critique_revision,instructions,mixedbread-ai/mxbai-embed-large-v1,improved,0.06138110160827637,0.10108673572540283,0.021675467491149902,-0.18059730529785156,5,5,sentence-transformers/all-MiniLM-L6-v2,improved,0.22659555077552795,0.2670612931251526,0.18612980842590332,-0.4727025479078293,7,7,accepted,Accepted by operator.
altitude,supported_by_both,"A term statistically associated with cloud, sea, plane, clouds. Selected corpus use: table comparison; alternative contexts: travel plan, learning plan.",Height above sea level or another reference surface.,reasoning_verification,table_comparison,mixedbread-ai/mxbai-embed-large-v1,improved,0.1514904797077179,0.207627534866333,0.09535342454910278,-0.25452113151550293,8,4,sentence-transformers/all-MiniLM-L6-v2,improved,0.32550281286239624,0.3891351819038391,0.26187044382095337,-0.4488053023815155,7,5,accepted,Accepted by operator.
